Varieta;Trattamento;Pericarpo_g;Seme_g;Endocarpo_g
Largueta;Open_HP;3.53;1.19;2.73
Largueta;Open_HP;2.43;0.93;1.97
Largueta;Open_HP;2.96;1.09;3.19
Largueta;Open_HP;2.88;1;2.993
Largueta;Open_HP;2.58;0.16;2.77
Largueta;Open_HP;2.62;1.13;3.27
Largueta;Open_HP;2.63;1.19;3.98
Largueta;Open_HP;2.52;1.25;3.48
Largueta;Open_HP;2.55;1.02;3.2
Largueta;Open_HP;2.22;0.95;2.53
Largueta;Open_HP;2.66;1.34;3.61
Largueta;Open_HP;3.92;1.61;4.07
Largueta;Open_HP;3.78;1.22;2.6
Largueta;Open_HP;2.41;1.12;3.38
Largueta;Open;2.68;1.5;3.81
Largueta;Open;1.57;0.61;1.96
Largueta;Open;2.5;1.18;3.36
Largueta;Open;2.17;1.14;3.35
Largueta;Open;2.59;1.45;3.14
Largueta;Open;2.06;0.95;1.9
Largueta;Open;2.32;0.94;3.07
Largueta;Open;2.02;1;3.09
Largueta;Open;1.29;0.66;2.01
Largueta;Open;1.84;1.06;2.94
Largueta;Open;1.9;0.89;2.97
Largueta;Bagged;0;0;0
Espoir;Open_HP;1.7;0.82;1.97
Espoir;Open_HP;1.43;0.05;1.46
Espoir;Open_HP;2.06;0.82;1.91
Espoir;Open_HP;2.64;0.93;2.25
Espoir;Open_HP;1.53;0.77;1.43
Espoir;Open_HP;1.49;0.67;1.24
Espoir;Open_HP;1.83;0.83;1.71
Espoir;Open_HP;1.36;0.77;1.54
Espoir;Open_HP;1.93;0.93;1.73
Espoir;Open_HP;1.64;0.83;1.75
Espoir;Open_HP;2.7;1.02;2.01
Espoir;Open_HP;1.64;0.77;1.42
Espoir;Open_HP;1.7;0.85;1.74
Espoir;Open_HP;1.68;0.82;1.78
Espoir;Open_HP;1.66;0.8;1.52
Espoir;Open_HP;1.08;0.04;1.03
Espoir;Open_HP;1.51;0.81;1.54
Espoir;Open_HP;1.43;0.79;1.48
Espoir;Open_HP;1.47;0.78;1.59
Espoir;Open_HP;1.37;0.75;1.43
Espoir;Open_HP;1.89;0.8;1.55
Espoir;Open_HP;1.89;0.89;1.74
Espoir;Open_HP;1.79;0.81;1.58
Espoir;Open_HP;1.4;0.77;1.57
Espoir;Open_HP;1.35;0.78;1.33
Espoir;Open_HP;1.79;0.84;1.6
Espoir;Open_HP;1.57;0.74;1.64
Espoir;Open_HP;1.89;0.94;1.83
Espoir;Open_HP;1.65;0.66;1.64
Espoir;Open_HP;0.95;0.61;0.99
Espoir;Open_HP;2.64;0.99;2.01
Espoir;Open_HP;2.26;0.95;1.87
Espoir;Open_HP;1.51;0.7;1.26
Espoir;Open_HP;1.23;0.73;1.3
Espoir;Open_HP;1.28;0.7;1.35
Espoir;Open_HP;1.94;0.91;1.67
Espoir;Open;2.06;0.88;1.64
Espoir;Open;1.65;0.8;1.42
Espoir;Open;1.53;0.76;1.49
Espoir;Open;1.9;0.84;1.66
Espoir;Open;1.45;0.6;1.55
Espoir;Open;0.5;0.92;1.92
Espoir;Open;1.32;0.72;1.11
Espoir;Open;1.6;0.8;1.66
Espoir;Open;1.58;0.73;1.43
Espoir;Open;2.06;0.91;1.73
Espoir;Open;2.39;0.93;1.76
Espoir;Open;1.5;0.63;1.24
Espoir;Open;1.59;0.77;1.42
Espoir;Open;2.16;0.86;1.76
Espoir;Open;3.26;1.06;2.14
Espoir;Open;2.92;1.01;2.37
Espoir;Open;1.9;0.85;1.7
Espoir;Open;1.12;0.6;1.08
Espoir;Open;0.32;0.04;0.25
Espoir;Open;1.55;0.72;1.58
Espoir;Open;1.43;0.55;1.26
Espoir;Open;1.5;0.79;1.22
Espoir;Open;1.25;0.68;1.27
Espoir;Open;1.74;0.78;1.56
Espoir;Open;2.17;0.88;1.87
Espoir;Open;1.62;0.79;1.51
Espoir;Open;1.4;0.82;1.64
Espoir;Open;1.6;0.72;1.45
Espoir;Open;1.8;0.78;1.7
Espoir;Open;2.44;0.99;2.19
Espoir;Open;1.68;0.82;1.48
Espoir;Open;2.56;0.96;1.17
Espoir;Open;1.82;0.84;1.64
Espoir;Open;1.74;0.74;1.61
Espoir;Open;1.59;0.73;1.21
Espoir;Open;1.98;0.8;1.77
Espoir;Open;2.36;0.09;1.61
Espoir;Open;1.51;0.66;1.16
Espoir;Open;0.88;0.57;1.91
Espoir;Open;1.04;0.55;1.04
Espoir;Open;1.05;0;0.92
Espoir;Open;1.67;0.73;1.25
Espoir;Open;0.84;0.05;0.8
Espoir;Bagged;1.88;0.91;1.95
Planeta;Open_HP;1.93;1.11;3.03
Planeta;Open_HP;1.64;0.06;2.53
Planeta;Open_HP;1.61;1.13;2.59
Planeta;Open_HP;1.78;1.27;3.43
Planeta;Open_HP;1.88;1;1.94
Planeta;Open;1.58;1.13;3.11
Planeta;Open;1.21;0.86;2.34
Planeta;Open;1.52;0.9;2.72
Planeta;Open;1.23;0.82;2.46
Planeta;Open;1.46;0.95;2.62
Planeta;Open;1.02;0.82;1.98
Planeta;Open;0.94;0.73;1.61
Planeta;Open;0.79;0.51;1.17
Planeta;Bagged;0;0;0
